repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language
devongovett/atom-jade,51.00 ,26.00 ,13.00 ,3.00 ,15.00 ,HTML
EddieHubCommunity/EddieHubCommunity.github.io,101.00 ,86.00 ,12.00 ,1.00 ,47.00 ,HTML
HarshCasper/AllNotes,36.00 ,30.00 ,12.00 ,7.00 ,14.00 ,JavaScript
EddieHubCommunity/EventCalendar,34.00 ,39.00 ,12.00 ,4.00 ,21.00 ,JavaScript
vasu-1/pygithub-bot,8.00 ,1.00 ,12.00 ,0.00 ,2.00 ,Python
AnandBaburajan/Kukkee,231.00 ,46.00 ,12.00 ,0.00 ,16.00 ,TypeScript
WhiteHouse/ndoch-hackathon,16.00 ,14.00 ,12.00 ,1.00 ,0.00 ,NULL
vasu-1/pygithub-bot,8.00 ,1.00 ,12.00 ,0.00 ,2.00 ,Python
adrianhajdin/project_corona_tracker,0.00 ,373.00 ,12.00 ,18.00 ,0.00 ,JavaScript
openfoodfacts/hungergames-old,4.00 ,2.00 ,12.00 ,0.00 ,2.00 ,Python
casatwy/CTVideoPlayerView,641.00 ,81.00 ,11.00 ,0.00 ,5.00 ,Objective-C
btholt/citr-v6-project,487.00 ,499.00 ,11.00 ,6.00 ,0.00 ,JavaScript
btholt/complete-intro-to-react-v6,0.00 ,223.00 ,11.00 ,21.00 ,13.00 ,JavaScript
ljharb/can-merge,14.00 ,3.00 ,11.00 ,3.00 ,12.00 ,JavaScript
EddieHubCommunity/infrastructure,17.00 ,2.00 ,11.00 ,1.00 ,2.00 ,TypeScript
benawad/astralfans-landing,98.00 ,3.00 ,11.00 ,0.00 ,0.00 ,HTML
devraj/PassCodeInput,21.00 ,2.00 ,11.00 ,0.00 ,3.00 ,Swift
iamshaunjp/Complete-React-Tutorial,995.00 ,0.00 ,11.00 ,7.00 ,0.00 ,NULL
casatwy/CTNetworking,479.00 ,104.00 ,11.00 ,1.00 ,0.00 ,Objective-C
donnemartin/data-science-ipython-notebooks,0.00 ,0.00 ,11.00 ,13.00 ,12.00 ,Python
OmkarKandale/pet-clinic,0.00 ,0.00 ,11.00 ,0.00 ,0.00 ,Java
iamshaunjp/Complete-React-Tutorial,995.00 ,0.00 ,11.00 ,7.00 ,0.00 ,NULL
localstack/cockpit,12.00 ,0.00 ,10.00 ,0.00 ,2.00 ,NULL
stemount/automated-cloud-radio-station,8.00 ,1.00 ,10.00 ,0.00 ,0.00 ,NULL
localstack/localstack-java-utils,64.00 ,41.00 ,10.00 ,3.00 ,24.00 ,Java
jishanshaikh4/adblocker-ultimate,16.00 ,16.00 ,10.00 ,3.00 ,0.00 ,JavaScript
jakearchibald/byte-storage,40.00 ,2.00 ,10.00 ,0.00 ,2.00 ,NULL
mrdbourke/machine-learning-roadmap,0.00 ,0.00 ,10.00 ,1.00 ,0.00 ,NULL
education/guide,32.00 ,18.00 ,10.00 ,0.00 ,12.00 ,Ruby
defuse/DAWr,19.00 ,0.00 ,10.00 ,0.00 ,0.00 ,Rust
openfoodfacts/folksonomy_api,7.00 ,5.00 ,10.00 ,8.00 ,5.00 ,Python
trailofbits/ctf,0.00 ,248.00 ,10.00 ,3.00 ,18.00 ,C
openfoodfacts/community-portal,3.00 ,2.00 ,10.00 ,12.00 ,6.00 ,Python
aviaryan/awesome-no-login-web-apps,0.00 ,198.00 ,9.00 ,29.00 ,65.00 ,Shell
openfoodfacts/off-nutrition-table-extractor,172.00 ,66.00 ,9.00 ,10.00 ,8.00 ,Jupyter Notebook
openfoodfacts/folksonomy_frontend,1.00 ,0.00 ,9.00 ,0.00 ,3.00 ,JavaScript
EddieHubCommunity/DailyTips,16.00 ,6.00 ,9.00 ,0.00 ,9.00 ,TypeScript
byt3bl33d3r/DeathStar,0.00 ,326.00 ,9.00 ,3.00 ,7.00 ,Python
education/GitHubGraduation-2022,0.00 ,0.00 ,9.00 ,484.00 ,0.00 ,NULL
byt3bl33d3r/chrome-decrypter,251.00 ,91.00 ,9.00 ,2.00 ,2.00 ,Python
google/accname,14.00 ,3.00 ,9.00 ,0.00 ,6.00 ,TypeScript
carloscuesta/gitmoji,0.00 ,691.00 ,9.00 ,0.00 ,88.00 ,JavaScript
JayjeetAtGithub/Audition-Management-System,3.00 ,8.00 ,9.00 ,0.00 ,2.00 ,Python
adrianhajdin/projects_realestate,749.00 ,262.00 ,9.00 ,0.00 ,2.00 ,JavaScript
shreyashankar/gpt3-sandbox,0.00 ,757.00 ,9.00 ,2.00 ,12.00 ,JavaScript
jgthms/bulma-start,269.00 ,72.00 ,9.00 ,9.00 ,2.00 ,CSS
defuse/flush-reload-attacks,155.00 ,80.00 ,9.00 ,1.00 ,2.00 ,Ruby
Tyriar/abbr-fill.js,2.00 ,0.00 ,9.00 ,0.00 ,0.00 ,JavaScript
iamshaunjp/firegram,286.00 ,237.00 ,9.00 ,2.00 ,0.00 ,NULL
yessine-agrebi/Dev-Blog,2.00 ,0.00 ,9.00 ,1.00 ,3.00 ,JavaScript
RioChndr/jaksel-language,507.00 ,55.00 ,9.00 ,0.00 ,12.00 ,JavaScript
rogeriopvl/downstagram,32.00 ,7.00 ,9.00 ,4.00 ,2.00 ,JavaScript
ethereum/clrfund,22.00 ,76.00 ,9.00 ,7.00 ,0.00 ,TypeScript
antonmedv/countdown,847.00 ,79.00 ,9.00 ,2.00 ,8.00 ,Go
antonmedv/finder,775.00 ,74.00 ,9.00 ,3.00 ,9.00 ,HTML
carloscuesta/gitmoji,0.00 ,691.00 ,9.00 ,0.00 ,88.00 ,JavaScript
jgthms/bulma-start,269.00 ,72.00 ,9.00 ,9.00 ,2.00 ,CSS
LiveOverflow/minecraft-hacked,160.00 ,16.00 ,9.00 ,2.00 ,2.00 ,Python
kdeldycke/chessboard,7.00 ,4.00 ,9.00 ,0.00 ,0.00 ,Python
xoreaxeaxeax/rosenbridge,0.00 ,216.00 ,9.00 ,4.00 ,0.00 ,C
iamshaunjp/firegram,286.00 ,237.00 ,9.00 ,2.00 ,0.00 ,NULL
cheeaun/ama,11.00 ,634.00 ,9.00 ,0.00 ,0.00 ,NULL
